timestamp,object_id,object_name,x,y,z,heading,pitch,bank,self_x,self_y,self_z,distance_3d
2025-09-07 00:17:01.575,16788224,E-3A,,,,,,,,,,836102.81
2025-09-07 00:17:01.882,16788224,E-3A,-307515.34545312,7246.7816493288,700575.95208885,5.8268362283707,0.0080536371096969,-9.4496564997826e-05,-307515.34545312,7246.7816493288,700575.95208885,74342.83
2025-09-07 00:17:02.188,16788224,E-3A,-307438.08563229,7243.9243900211,700538.73901365,5.8268346786499,0.0081981690600514,-9.2417314590421e-05,-307438.08563229,7243.9243900211,700538.73901365,74455.90
2025-09-07 00:17:02.494,16788224,E-3A,-307361.91434607,7241.1336841036,700502.0487443,5.8268332183361,0.0083303237333894,-9.529797534924e-05,-307361.91434607,7241.1336841036,700502.0487443,74568.20
2025-09-07 00:17:02.806,16788224,E-3A,-307287.33744377,7238.4261192168,700466.12502947,5.8268317878246,0.0084507400169969,-0.00010028280667029,-307287.33744377,7238.4261192168,700466.12502947,74680.98
2025-09-07 00:17:03.009,16788224,E-3A,-307209.6291592,7235.6302255709,700428.69143746,5.8268303871155,0.0085736848413944,-0.00010066290997202,-307209.6291592,7235.6302255709,700428.69143746,74771.60
2025-09-07 00:17:03.315,16788224,E-3A,-307157.98977726,7233.7862669292,700403.81491039,5.8268294632435,0.0086541315540671,-0.00010092189040734,-307157.98977726,7233.7862669292,700403.81491039,74870.87
2025-09-07 00:17:03.621,16788224,E-3A,-307081.53295706,7231.0760679755,700366.98173616,5.8268287479877,0.008749233558774,-0.00010083780216519,-307081.53295706,7231.0760679755,700366.98173616,74983.17
2025-09-07 00:17:03.824,16788224,E-3A,-307005.68514845,7228.4097615361,700330.44055218,5.8268278241158,0.0087946122512221,-0.00010283165465808,-307005.68514845,7228.4097615361,700330.44055218,75073.57
2025-09-07 00:17:04.132,16788224,E-3A,-306953.53754135,7226.5884283079,700305.31661107,5.8268276453018,0.0088082533329725,-0.00010329920769436,-306953.53754135,7226.5884283079,700305.31661107,75172.40
2025-09-07 00:17:04.439,16788224,E-3A,-306876.95346545,7223.929385735,700268.41837708,5.8268261551857,0.008821920491755,-0.00010323472088203,-306876.95346545,7223.929385735,700268.41837708,75285.86
2025-09-07 00:17:04.749,16788224,E-3A,-306799.47512435,7221.2566269358,700231.08789083,5.8268248140812,0.0088400477543473,-0.00010345838381909,-306799.47512435,7221.2566269358,700231.08789083,75400.38
2025-09-07 00:17:05.055,16788224,E-3A,-306721.35174336,7218.577786393,700193.44520943,5.8268238306046,0.0088628735393286,-0.00010295092943124,-306721.35174336,7218.577786393,700193.44520943,75514.92
2025-09-07 00:17:05.359,16788224,E-3A,-306644.85599688,7215.9694405737,700156.58543493,5.826822578907,0.0088833458721638,-0.00010310508514522,-306644.85599688,7215.9694405737,700156.58543493,75627.90
2025-09-07 00:17:05.668,16788224,E-3A,-306567.97335135,7213.3617139801,700119.53790462,5.8268211185932,0.0088982535526156,-0.00010545480472501,-306567.97335135,7213.3617139801,700119.53790462,75742.07
2025-09-07 00:17:05.868,16788224,E-3A,-306489.94300862,7210.7283850576,700081.93598824,5.8268202543259,0.0089084496721625,-0.00010703335283324,-306489.94300862,7210.7283850576,700081.93598824,75833.36
2025-09-07 00:17:06.175,16788224,E-3A,-306437.6780356,7208.9716923051,700056.74935816,5.8268198668957,0.008917398750782,-0.00010354029654991,-306437.6780356,7208.9716923051,700056.74935816,75932.62
2025-09-07 00:17:06.475,16788224,E-3A,-306360.94763275,7206.4026100182,700019.77170222,5.8268183469772,0.0089258151128888,-0.0001060705690179,-306360.94763275,7206.4026100182,700019.77170222,76045.12
2025-09-07 00:17:06.785,16788224,E-3A,-306284.59820297,7203.8574906044,699982.97639286,5.8268169164658,0.0089269671589136,-0.00010975969053106,-306284.59820297,7203.8574906044,699982.97639286,76159.47
2025-09-07 00:17:07.090,16788224,E-3A,-306205.82710403,7201.2426804551,699945.01270893,5.8268154859543,0.0089244721457362,-0.00010779568401631,-306205.82710403,7201.2426804551,699945.01270893,76274.45
2025-09-07 00:17:07.392,16788224,E-3A,-306127.43531463,7198.6509569314,699907.23055001,5.8268146812916,0.0089181559160352,-0.00010369827941759,-306127.43531463,7198.6509569314,699907.23055001,76388.82
2025-09-07 00:17:07.704,16788224,E-3A,-306049.17081559,7196.0732378866,699869.50848708,5.8268135786057,0.0089053697884083,-0.00010446256055729,-306049.17081559,7196.0732378866,699869.50848708,76504.98
2025-09-07 00:17:08.015,16788224,E-3A,-305970.26706953,7193.483689933,699831.47706967,5.8268121778965,0.0088890334591269,-0.00010350452794228,-305970.26706953,7193.483689933,699831.47706967,76621.59
2025-09-07 00:17:08.316,16788224,E-3A,-305890.97983545,7190.8902655465,699793.25956976,5.8268112838268,0.0088705634698272,-0.00010103978274856,-305890.97983545,7190.8902655465,699793.25956976,76736.72
2025-09-07 00:17:08.622,16788224,E-3A,-305812.08092039,7188.3176273879,699755.22802996,5.8268103599548,0.0088479891419411,-9.8472708486952e-05,-305812.08092039,7188.3176273879,699755.22802996,76851.90
2025-09-07 00:17:08.932,16788224,E-3A,-305734.08921984,7185.7819357719,699717.63262264,5.8268095850945,0.0088228229433298,-9.7093339718413e-05,-305734.08921984,7185.7819357719,699717.63262264,76968.18
2025-09-07 00:17:09.232,16788224,E-3A,-305654.68599998,7183.2074398917,699679.35559684,5.8268081247807,0.0087988367304206,-9.7466101578902e-05,-305654.68599998,7183.2074398917,699679.35559684,77082.91
